MATMOTW,OUI,NOTES,ORIGINAL_FORMAT,DATE,MATMOTW_PART,GB_FILE_NAME,TC_LABEL,START_TIME,TIMECODE_ELAPSED,CONVO_SILENCE,CORRECTED _START_TIME,REXPORTED,MASTERING_NOTES
447,TC_174,"Hallwalls Contemporary Art Center. Buffalo, New York. Farfisa organ.",8mm Cassette,1979-12-01,1,TC_174_01,791201 Farfisa Organ (& voice) Hallwalls / 791207 A,00:05-47:16,47:10:00,HVD,00:05-12:00,Right channel messed up,
448,TC_175,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-12-02,,TC_175_01,791202 W (about 3/4 of one side) / 800115 1/2,00:00-17:34,17:34:00,HVD,,N,
449,TC_175,"University at Buffalo, New York. Weber piano.",8mm Cassette,1980-01-15,1,TC_175_01,791202 W (about 3/4 of one side) / 800115 1/2,17:47-30:43,12:55:00,HVD ending cut off,,N,
450,TC_175,"University at Buffalo, New York. Weber piano.",8mm Cassette,1980-01-15,2,TC_175_02,791202 W (about 3/4 of one side) / 800115 1/2,00:04-30:40,30:35:00,HVD,,N,
451,TC_176,"Albany, New York.",8mm Cassette,1979-12-07,2,TC_176_01,791207 B Workspace Albany,00:27-38:27,37:57:00,"HVD more guy talking throughout, def one continuous sesh but lots of pauses",,N,
452,TC_177,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-01-13,1,TC_177_01,800113 1/2 Yamaha UCSD (first sets),00:00-30:37,30:25:00,HVD end sounds cut off,,N,
453,TC_177,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-01-13,2,TC_177_02,800113 1/2 Yamaha UCSD (first sets),00:00-30:28,30:24:00,HVD,,N,
454,TC_178,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-01-16,1,TC_178_01,800116 1/2 Yamaha UCSD,00:00-30:35,30:31:00,HVD,,N,
455,TC_178,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-01-16,2,TC_178_02,800116 1/2 Yamaha UCSD,00:00-07:30,07:28:00,HVD,00:00-07:30,Y,Low levels
456,TC_179,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-01-18,1,TC_179_01,"800118 1/2 Yamaha 133 (""I don't like Art"" on ch 1 only in mid side 2)",00:00-01:15,01:07:00,"HVD sounds like he hit stop at 1:14, silence till 2:10, silence 40:55",00:00-01:15,Y,
457,TC_179,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-01-18,2,TC_179_02,"800118 1/2 Yamaha 133 (""I don't like Art"" on ch 1 only in mid side 2)",00:00-06:00,05:50:00,HVD,,N,
458,TC_180,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-01-22,1,TC_180_01,800122 1/2 Yamaha 139,00:01-30:49,30:45:00,HVD silence 12:55 - 13:10,,N,
459,TC_180,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-01-22,2,TC_180_02,800122 1/2 Yamaha 139,00:01-27:05,27:01:00,HVD,,N,
460,TC_181,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-01-24,,TC_181_01,800124 Yamaha,00:01-46:00,45:59:00,HVD,,N,
461,TC_182,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-02-27,1,TC_182_01,800227 Yamaha 139 / 800228,00:01-30:55,30:52:00,HVD,,N,
462,TC_182,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-02-27,2,TC_182_02,800227 Yamaha 139 / 800228,00:04-36:56,30:50:00,HVD,,N,
463,TC_183,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-03-05,1,TC_183_01,800305 1/2 Yamaha 139,00:01-31:21,31:17:00,HVD,,N,
464,TC_183,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-03-05,2,TC_183_02,800305 1/2 Yamaha 139,00:02-25:27,25:23:00,HVD end cut off,00:02-25:27,Y,
465,TC_184,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-03-07,,TC_184_01,800307 Yamaha 139,00:01-46:10,46:09:00,HVD,,N,
466,TC_185,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-04-27,1,TC_185_01,800427 1/2 Yamaha 139,00:02-30:55,30:52:00,HVD,,N,
467,TC_185,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-04-27,2,TC_185_02,800427 1/2 Yamaha 139,00:02-30:59,30:55:00,HVD,,N,
468,TC_186,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-04-28,1,TC_186_01,800428 1/2 Yamaha 139,00:01-30:50,30:44:00,HVD,,N,
469,TC_186,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-04-28,2,TC_186_02,800428 1/2 Yamaha 139,00:00-30:51,30:50:00,HVD,,N,
470,TC_187,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-04-29,1,TC_187_01,800429 1/2 Yamaha 139,00:00-30:57,30:56:00,HVD,,N,
471,TC_187,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-04-29,2,TC_187_02,800429 1/2 Yamaha 139,00:00-31:00,30:58:00,HVD,,N,
472,TC_188,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-04-30,1,TC_188_01,800430 1/2 Yamaha 136,00:00-31:02,31:00:00,HVD,,N,Drop outs after 28:00
473,TC_188,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-04-30,2,TC_188_02,800430 1/2 Yamaha 136,00:00-31:05,31:04:00,HVD,,N,
474,TC_189,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-05-02,1,TC_189_01,800502 1/2 Yamaha 139,00:00-16:50,16:51:00,HVD,,N,
475,TC_189,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-05-02,2,TC_189_01,800502 1/2 Yamaha 139,17:30-30:55,13:25:00,HVD,,N,
476,TC_189,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-05-02,3,TC_189_02,800502 1/2 Yamaha 139,00:00-30:53,30:52:00,HVD,,N,
477,TC_190,"Third Street Music School. Buffalo, New York. Steinway piano.",8mm Cassette,1980-05-05,1,TC_190_01,800505 Third St. Steinway,00:00-47:15,47:09:00,"HVD pause 20:13, different feel but sounds like same performance",,N,
478,TC_190,"Third Street Music School. Buffalo, New York. Steinway piano.",8mm Cassette,1980-05-05,2,TC_190_02,800505 Third St. Steinway,00:00-33:00,32:59:00,HVD,,N,
479,TC_190,"Third Street Music School. Buffalo, New York. Steinway piano.",8mm Cassette,1980-05-05,3,TC_190_02,800505 Third St. Steinway,33:12-40:35,07:21:00,HVD,,N,
480,TC_191,"Third Street Music School. Buffalo, New York. Steinway piano.",8mm Cassette,1980-05-06,1,TC_191_01,800506 1/2 Third St. Music School H (1 & pt of 2),00:00-47:14,47:12:00,HVD,,N,
481,TC_191,"Third Street Music School. Buffalo, New York. Steinway piano.",8mm Cassette,1980-05-06,2,TC_191_02,800506 1/2 Third St. Music School H (1 & pt of 2),00:00-47:15,47:13:00,HVD,,N,Left channel cuts out occasionally
482,TC_192,"Third Street Music School. Buffalo, New York. Steinway piano.",8mm Cassette,1980-05-07,1,TC_192_01,800507 1/2 Third St. Music School Steinway,00:05-47:43,47:38:00,"HVD pause 18:36-18:42, 26:59-27:14",,N,
483,TC_192,"Third Street Music School. Buffalo, New York. Steinway piano.",8mm Cassette,1980-05-07,2,TC_192_02,800507 1/2 Third St. Music School Steinway,00:00-47:52,47:49:00,"HVD pause 5:45-50, 7:49-7:56, 24:57-25:08",,N,
484,TC_193,"Third Street Music School. Buffalo, New York. Steinway piano.",8mm Cassette,1980-05-08,1,TC_193_01,800508 1/2 Third St. 1: C. Bechstein 2: Mason & Hamlin,00:03-47:59,47:54:00,HVD talking 6:48,00:03-47:59,Y,
485,TC_193,"Third Street Music School. Buffalo, New York. Steinway piano.",8mm Cassette,1980-05-08,2,TC_193_02,800508 1/2 Third St. 1: C. Bechstein 2: Mason & Hamlin,00:00-47:58,47:57:00,HVD,,N,
486,TC_194,"The Kitchen. New York, New York.",8mm Cassette,1980-05-09,1,TC_194_01,800509 1/2 Kitchen Piano (1 & pt of 2),00:04-22:46,22:39:00,HVD,,N,
487,TC_194,"The Kitchen. New York, New York.",8mm Cassette,1980-05-09,2,TC_194_01,800509 1/2 Kitchen Piano (1 & pt of 2),23:16-47:21,24:05:00,HVD,,N,
488,TC_194,"The Kitchen. New York, New York.",8mm Cassette,1980-05-09,3,TC_194_02,800509 1/2 Kitchen Piano (1 & pt of 2),00:00-32:29,32:28:00,HVD,,N,
489,TC_195,"The Kitchen. New York, New York.",8mm Cassette,1980-05-10,1,TC_195_01,800510 1/2 Kitchen Warmup (1 & pt of 2),01:11-47:27,46:13:00,HVD brief talking 1:10,01:11-47:27,Y,
490,TC_195,"The Kitchen. New York, New York.",8mm Cassette,1980-05-10,2,TC_195_02,800510 1/2 Kitchen Warmup (1 & pt of 2),00:02-34:58,34:55:00,HVD,,N,
491,TC_196,"University of California, San Diego. Yamaha 136 piano.",8mm Cassette,1980-05-12,1,TC_196_01,800512 Yamaha 136 (1 only) / 800515,00:04-47:25,47:15:00,HVD,,N,
492,TC_196,"University of California, San Diego. Yamaha 136 piano.",8mm Cassette,1980-05-12,2,TC_196_02,800512 Yamaha 136 (1 only) / 800515,00:12-47:25,47:11:00,HVD pause maybe session break? 43:03- 43:13,,N,
493,TC_197,"University of California, San Diego. Yamaha CLP 133 piano.",8mm Cassette,1980-05-23,1,TC_197_01,800523 1/2 Yamaha 133,00:04-47:27,47:20:00,HVD pause 4:54-5:13,,N,
494,TC_197,"University of California, San Diego. Yamaha CLP 133 piano.",8mm Cassette,1980-05-23,2,TC_197_02,800523 1/2 Yamaha 133,00:00-9:56,09:55:00,HVD,,N,
495,TC_197,"University of California, San Diego. Yamaha CLP 133 piano.",8mm Cassette,1980-05-23,3,TC_197_02,800523 1/2 Yamaha 133,09:57-47:29,37:28:00,HVD,,N,
496,TC_198,With Barb.,8mm Cassette,1980-05-26,1,TC_198_01,800526 1/2 Memorial Day Y 132. 1:Barb & Tony,00:03-47:26,47:21:00,HVD,,N,
497,TC_198,With Barb.,8mm Cassette,1980-05-26,2,TC_198_02,800526 1/2 Memorial Day Y 132. 1:Barb & Tony,00:00-18:44,18:42:00,HVD,00:00-18:44,Y,
498,TC_199,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-27,1,TC_199_01,800527 1/2 Yamaha 140 (139?),00:00-11:53,11:46:00,HVD,,N,
499,TC_199,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-27,2,TC_199_01,800527 1/2 Yamaha 140 (139?),12:06-47:27,35:20:00,HVD,,N,
500,TC_199,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-27,3,TC_199_02,800527 1/2 Yamaha 140 (139?),00:00-22:16,22:15:00,HVD,,N,
501,TC_200,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-29,1,TC_200_01,800529 Yamaha 140 (2/3 of side 1) / 800530 A,00:00-18:32,17:59:00,"HVD talking 17:50-18:24, presses stop, 27:00 onward, faint talking in bkgrnd for about 10 min",00:00-18:32,Y,
502,TC_200,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-29,2,TC_200_01,800529 Yamaha 140 (2/3 of side 1) / 800530 A,18:43-37:06,18:19:00,"HVD many pauses, same performance though",18:43-37:06,Y,
503,TC_200,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-30,1,TC_200_02,800529 Yamaha 140 (2/3 of side 1) / 800530 A,00:00-07:55,07:45:00,"HVD talking 7:52-8:09, pauses after but same performance",00:00-07:55,Y,
504,TC_201,"University of California, San Diego. Vorsetzer piano.",8mm Cassette,1980-05-30,5,TC_201_01,800530 B UCSD: SONGS (side 1) Vorsetzer (end s 1,00:00-43:13,42:25:00,"HVD 39:00 performance ends, some chatting,",,N,
505,TC_201,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-30,6,TC_201_02,800530 B UCSD: SONGS (side 1) Vorsetzer (end s 1,00:00-00:53,00:53:00,HVD,,N,
506,TC_202,"University of California, San Diego. Yamaha 132 piano.",8mm Cassette,1980-06-10,1,TC_202_01,800610 1/2 Yamaha 132 (1 & 1/2 of side 2) / 800611 1,00:00-17:58,17:54:00,HVD,,N,
507,TC_202,"University of California, San Diego. Yamaha 132 piano.",8mm Cassette,1980-06-10,2,TC_202_01,800610 1/2 Yamaha 132 (1 & 1/2 of side 2) / 800611 1,17:58-47:36,29:37:00,HVD,,N,
508,TC_202,"University of California, San Diego. Yamaha 132 piano.",8mm Cassette,1980-06-11,1,TC_202_02,800610 1/2 Yamaha 132 (1 & 1/2 of side 2) / 800611 1,00:00-11:58,11:58:00,HVD,,N,
509,TC_202,"University of California, San Diego. Yamaha 132 piano.",8mm Cassette,1980-06-11,2,TC_202_02,800610 1/2 Yamaha 132 (1 & 1/2 of side 2) / 800611 1,11:58-21:56,09:45:00,HVD,,N,
510,TC_202,"University of California, San Diego. Yamaha 132 piano.",8mm Cassette,1980-06-11,3,TC_202_02,800610 1/2 Yamaha 132 (1 & 1/2 of side 2) / 800611 1,21:56-47:40,25:44:00,HVD,Slightly cut off at the end,N,
511,TC_203,"University of California, San Diego.",8mm Cassette,1980-06-12,1,TC_203_02,800611 2 Yamaha 136 (about 1/3 side 1) / 800612 1/2,00:00-10:46,10:45:00,"HVD Volume lowers 4:31-5:10, and 8:31 on",,N,
512,TC_203,"University of California, San Diego.",8mm Cassette,1980-06-12,2,TC_203_02,800611 2 Yamaha 136 (about 1/3 side 1) / 800612 1/2,10:46-47:30,36:39:00,HVD,,N,
513,TC_203,"University of California, San Diego. Yamaha 136 piano.",8mm Cassette,1980-06-11,4,TC_203_01,800611 2 Yamaha 136 (about 1/3 side 1) / 800612 1/2,00:00-15:28,15:22:00,HVD,,N,
514,TC_203,"University of California, San Diego. Yamaha 136 piano.",8mm Cassette,1980-06-11,5,TC_203_01,800611 2 Yamaha 136 (about 1/3 side 1) / 800612 1/2,15:28-47:26,31:57:00,HVD,,N,
515,TC_204,"University of California, San Diego. Yamaha 133 piano.",8mm Cassette,1980-06-15,,TC_204_01,800615 Yamaha 133 (abt 3/4 of s 1) / Formula Melodica--not the best,00:15-23:04,22:50:00,HVD shuffling around 0:42-1:03,,N,
516,TC_204,X,8mm Cassette,X,X,X,800615 Yamaha 133 (abt 3/4 of s 1) / Formula Melodica--not the best,X,x,HVD,,,
517,TC_205,"Los Angeles Institute of Contemporary Art, California. Lester Spinet piano.",8mm Cassette,1980-06-20,1,TC_205_01,"800620 LAICA rented Lester spinnet (s1;""I Put Spell""@ head) / 800621",02:48-45:08,42:21:00,HVD 31:05-31:32 interruption,,N,
518,TC_205,"Los Angeles Institute of Contemporary Art, California. Lester Spinet piano.",8mm Cassette,1980-06-21,2,TC_205_02,"800620 LAICA rented Lester spinnet (s1;""I Put Spell""@ head) / 800621",00:04-47:21,47:16:00,"HVD 4:00 ""ah shit"", picks back up 4:32",,N,
519,TC_206,"Los Angeles Institute of Contemporary Art, California. Lester Spinet piano.",8mm Cassette,1980-06-22,1,TC_206_01,800622 A LAICA Warmup (abt 3/4 s 1) / WYSO potpourri,00:00-10:16,10:13:00,"HVD 10:16 pause, ""how's that"", presses stop. sounds like perf picks up in same space",00:00-10:16,Y,
520,TC_206,X,8mm Cassette,X,X,X,800622 A LAICA Warmup (abt 3/4 s 1) / WYSO potpourri,X,x,HVD,,,
521,TC_207,"Los Angeles Institute of Contemporary Art, California. Lester Spinet piano.",8mm Cassette,1980-06-22,2,TC_207_01,800622 1 LAICA 4:00 100 SONGS Lester (breaking 12 keys)(s 1) / 800622 2,00:00-47:15,47:14:00,HVD end sounds cut off,,N,
522,TC_207,"Los Angeles Institute of Contemporary Art, California. Lester Spinet piano.",8mm Cassette,1980-06-22,3,TC_207_02,800622 1 LAICA 4:00 100 SONGS Lester (breaking 12 keys)(s 1) / 800622 2,00:00-02:28,02:26:00,HVD,00:00-02:28,Y,R channel low level
523,TC_208,Barb's house. Fischer piano.,8mm Cassette,1980-10-20,,TC_208_01,801020 Fischer @ Barb's house-Htfd(L chan only)(abt 1/4 side) / 801021,00:00-29:02,29:04:00,"HVD pause 10:17-10:28, odd pause at 13:00, interruption 23:06-23:18",,N,
524,TC_208,Barb's house. Fischer piano.,8mm Cassette,"1980-10-21, 1980-10-22, 1980-10-23",1,TC_208_01,801020 Fischer @ Barb's house-Htfd(L chan only)(abt 1/4 side) / 801021,29:08-47:29,18:21:00,HVD,,N,
525,TC_209,"University at Buffalo, New York. Weber piano.",8mm Cassette,"1980-10-21, 1980-10-22, 1980-10-23",2,TC_209_01,810222231/2 Weber at Prospect Rainy Eve 1:30-2:22am (end s 1,34:52-47:20,12:28:00,HVD,,N,
526,TC_209,"University at Buffalo, New York. Weber piano.",8mm Cassette,"1980-10-21, 1980-10-22, 1980-10-23",3,TC_209_02,810222231/2 Weber at Prospect Rainy Eve 1:30-2:22am (end s 1,00:04:-33:17,33:10:00,"HVD 33:17, 38:36 presses stop?",00:04-33:17,Y,
527,TC_210,"University at Buffalo, New York. Weber piano.",8mm Cassette,"1981-02-28, 1981-04-02",1,TC_210_01,81022801 W (Feb 28-Mar 1)(side 1) / TC@Collective 4/2/81,00:00-12:10,12:08:00,"HVD some pauses, all same performance though",,N,
528,TC_210,"University at Buffalo, New York. Weber piano.",8mm Cassette,"1981-02-28, 1981-04-02",2,TC_210_01,81022801 W (Feb 28-Mar 1)(side 1) / TC@Collective 4/2/81,12:19-47:20,35:02:00,HVD,,N,
529,TC_210,X,8mm Cassette,X,X,X,81022801 W (Feb 28-Mar 1)(side 1) / TC@Collective 4/2/81,X,x,HVD,,,
530,TC_211,"University at Buffalo, New York. Weber piano.",8mm Cassette,1981-03-27,,TC_211_01,810327 W A Snatch of Piano (abt 1/2 s 1) / Car radio (s 1&2),00:00-14:45,14:47:00,HVD,,N,
531,TC_211,X,8mm Cassette,X,X,X,810327 W A Snatch of Piano (abt 1/2 s 1) / Car radio (s 1&2),X,x,HVD,,,
532,TC_212,"University at Buffalo, New York. Weber piano.",8mm Cassette,1981-05-14,,TC_212_01,810514 W (abt 1/4 s 1),00:00-12:32,12:28:00,HVD,,N,
533,TC_213,"University at Buffalo, New York. Weber piano.",8mm Cassette,1981-06-28,1,TC_213_01,810628 W (abt 2/3 s 1),00:00-31:04,31:03:00,HVD ending cut off,,N,
534,TC_213,"University at Buffalo, New York. Weber piano.",8mm Cassette,1981-06-28,2,TC_213_02,810628 W (abt 2/3 s 1),00:00-18:47,18:46:00,HVD,,N,
535,TC_214,Fischer piano.,8mm Cassette,1982-01-04,1,TC_214_01,820104 Broughel Fischer,00:00-03:30,02:58:00,HVD chatting during all pauses,00:00-03:30,Y,
536,TC_214,Fischer piano.,8mm Cassette,1982-01-04,3,TC_214_02,820104 Broughel Fischer,00:00-25:25,25:17:00,HVD phone ring at very end,00:00-25:25,Y,
537,TC_214,Fischer piano.,8mm Cassette,1982-01-04,5,TC_214_02,820104 Broughel Fischer,43:14-47:29,04:11:00,HVD end cut off?,43:14-47:29,Y,
538,TC_215,Rob's electric piano.,8mm Cassette,1982-06-Unknown,1,TC_215_01,8206## 1/2 Electric piano--Rob Danielson's,00:00-47:22,47:22:00,HVD,,N,Left channel drops out 45:05 - 47:22
539,TC_215,Rob's electric piano.,8mm Cassette,1982-06-Unknown,2,TC_215_02,8206## 1/2 Electric piano--Rob Danielson's,00:00-47:22,47:22:00,HVD end cut off?,,N,
540,TC_216,"University at Buffalo, New York. Weber piano.",8mm Cassette,1982-10-20,1,TC_216_01,821020Weber,00:00-09:26,09:28:00,HVD pause 7:45-7:57,,N,
541,TC_216,"University at Buffalo, New York. Weber piano.",8mm Cassette,1982-10-20,2,TC_216_02,821020Weber,00:26-29:31,29:05:00,"HVD pause 22:33-22:44, same performance?",,N,
542,TC_217,"University at Buffalo, New York. Weber piano.",8mm Cassette,"1980-10-25, 1980-10-26, 1980-10-27",1,TC_217_01,82102527 W (abt 4/5 s 1)(date approximately Oct 25-27),00:00-05:10,05:05:00,HVD pause 5:20-5:47,00:00-05:10,Y,
543,TC_218,"University at Buffalo, New York. Weber piano.",8mm Cassette,"1982-11-13, 1982-12-21",1,TC_218_01,821113 W / 821221 1/2,00:00-43:32,43:29:00,"HVD pause 6:56-7:7:18, 23:05-23:16, end cut off",00:00-43:32,Y,
544,TC_218,"University at Buffalo, New York. Weber piano.",8mm Cassette,"1982-11-13, 1982-12-21",2,TC_218_02,821113 W / 821221 1/2,00:00-15:51,15:19:00,"HVD silence, tape noises 15:20-16:20",00:00-15:51,Y,
545,TC_219,X,8mm Cassette,X,X,X,ANY TIME Tony original track,X,x,,,,
546,TC_220,X,8mm Cassette,X,X,X,780608,X,x,,,,
547,TC_220,X,8mm Cassette,X,X,X,780608,X,x,,,,
548,TC_221,,8mm Cassette,Unknown 2,,TC_221_01,No Date 01 TC Piano,00:00-30:50,30:46:00,"HVD talking kid 7:45-8:48, interruption 8:10-8:10, kid shouting 18:10-18:32",,N,
549,TC_222,,8mm Cassette,Unknown 3,1,TC_222_01,No date 02,00:00-30:43,30:37:00,HVD end maybe cut off,,N,
550,TC_222,,8mm Cassette,Unknown 3,2,TC_222_02,No date 02,00:00-20:38,20:37:00,HVD 20:05 ppl walk in,,N,R channel missing
600,TC_034,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,2,TC_034_01,771020 1/2 Polidori-Conrad I Weber (Heintzman),13:25-29:26,15:58:00,,13:25-29:26,Y,
601,TC_068,,8mm Cassette,1978-01-24,2,TC_068_01,780124 1/2,25:17-30:41,05:23:00,GMG,25:17-30:41,Y,
602,TC_173,"Antioch College. Yellow Springs, Ohio.",8mm Cassette,"1979-11-24, 1979-11-25",2,TC_173_01,79112425 Piano in YSO (end of s 1) / Car radio distorted Delaware OH,17:24-19:12,01:42:00,HVD,17:24-19:12,Y,
603,TC_173,"Antioch College. Yellow Springs, Ohio.",8mm Cassette,"1979-11-24, 1979-11-25",3,TC_173_01,79112425 Piano in YSO (end of s 1) / Car radio distorted Delaware OH,19:55-21:04,01:50:00,HVD,19:55-21:04,Y,
604,TC_001,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1976-12-25,3,TC_001_01,761225 1/2,22:51-31:26,08:35:00,Missed session break at 22:50. CMA,22:51-31:26,Y,
605,TC_012,,8mm Cassette,1977-06-06,3,TC_012_01,770606 1/2,10:48-22:30,11:42:00,Session break at 10:45 & 22:30 & 42:33 CMA,10:48-22:30,Y,
606,TC_012,,8mm Cassette,1977-06-06,4,TC_012_01,770606 1/2,22:35-42:26,19:51:00,Session break at 10:45 & 22:30 & 42:33 CMA,22:35-42:26,Y,
607,TC_012,,8mm Cassette,1977-06-06,5,TC_012_01,770606 1/2,42:36-45:40,03:04:00,Session break at 10:45 & 22:30 & 42:33 CMA,42:36-45:40,Y,
608,TC_012,,8mm Cassette,1977-06-06,6,TC_012_02,770606 1/2,29:48-45:16,15:28:00,Session break 29:48 CMA,29:48-45:16,Y,
609,TC_013,,8mm Cassette,1977-06-07,4,TC_013_01,770607 1/2,25:28-31:03,05:32:00,Session break 18:52,25:28-31:03,Y,
610,TC_018,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-08-25,4,TC_018_01,770825 Baldwin,12:46-29:30,16:44:00,ANS 12:38 - 12:53 silence. 29:28 - 29:41 silence / talking in background.,12:46-29:30,Y,
611,TC_018,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-08-25,5,TC_018_01,770825 Baldwin,29:37-31:15,01:37:00,ANS 12:38 - 12:53 silence. 29:28 - 29:41 silence / talking in background.,29:37-31:15,Y,Mono
612,TC_020,,8mm Cassette,1977-08-26,3,TC_020_02,770826 Tony-Piano Baldwin (s 1) (copy of Dans orig?) / Preston piano,11:00-15:08,04:07:00,Session break at 14:51? CMA,11:00-15:08,Y,
613,TC_020,,8mm Cassette,1977-08-26,4,TC_020_02,770826 Tony-Piano Baldwin (s 1) (copy of Dans orig?) / Preston piano,15:10-17:50,02:24:00,Session break at 14:51? CMA,15:10-17:50,Y,
614,TC_020,,8mm Cassette,1977-08-26,5,TC_020_02,770826 Tony-Piano Baldwin (s 1) (copy of Dans orig?) / Preston piano,17:52-23:30,05:38:00,Session break at 14:51? CMA,17:52-23:30,Y,
615,TC_022,,8mm Cassette,1977-09-18,7,TC_022_02,770918 A/B Baldwin Sunday (s 1-Slow Nice s 2-good santur style),13:11-19:05,05:54:00,ANS - 3:53 some talking,13:11-19:05,Y,
616,TC_025,,8mm Cassette,1977-10-11,2,TC_025_01,770919 Baldwin-short (pt of s 1) / 771011,08:55-25:25,16:30:00,Session break 23:30? CMA,08:55-25:25,Y,Low levels- Left side cuts out
617,TC_025,,8mm Cassette,1977-10-11,3,TC_025_01,770919 Baldwin-short (pt of s 1) / 771011,25:26-30:15,04:48:00,Session break 23:30? CMA,25:26-30:15,Y,Low levels- Left side cuts out
618,TC_025,,8mm Cassette,1977-10-11,4,TC_025_01,770919 Baldwin-short (pt of s 1) / 771011,30:15-37:54,07:36:00,Session break 23:30? CMA,30:15-37:54,Y,Low levels- Left side cuts out
619,TC_026,,8mm Cassette,1977-09-20,3,TC_026_01,770920 1/2 Weber (s 2-Good Piece in D with C),11:40- 31:17,19:35:00,CMA,11:40- 31:17,Y,
620,TC_043,,8mm Cassette,1977-11-13,,TC_043_02,771110 Rollin Riot / 771113,25:42-30:54,05:10:00,EK 24:30 - 26:00,25:42-30:54,Y,
621,TC_057,,8mm Cassette,"1977-12-27, 1977-12-28",2,TC_057_01,77122728 / 771228 2,29:03-45:53,16:49:00,EK 28:34 - 29:00,29:03-45:53,Y,"Drop outs, distortion, 00:00 - 15:00"
622,TC_059,"Tiding Over'. The Kitchen. New York, New York.",8mm Cassette,1977-12-29,8,TC_059_01,"771229 Kitchen: Tiding Over I (Dub from 1/4"") (2 sides)",06:27-31:04,24:55:00,"EK silence 4:38-06:10, no fade out",06:27-31:04,Y,
623,TC_067,,8mm Cassette,1978-01-23,3,TC_067_01,780123 1/2 mostly practice,25:33-30:55,05:03:00,"GMG Talking from 24:31-25:36, Warbling from 25:38-26:00",25:33-30:55,Y,
624,TC_069,,8mm Cassette,1978-02-06,3,TC_069_01,780206 1/2,27:03-30:49,03:43:00,"GMG slight pause 14:36-14:40, slight pause, brief talking 26:56-27:11",27:03-30:49,Y,
625,TC_083,,8mm Cassette,1978-07-04,2,TC_083_01,780704 / 780709,28:47-32:51,03:59:00,"GMG Silence 28:18 - 28:48 , Brief silence 32:44 - 33:03, Silence/Talking  40:15 - 41:27",28:47-32:51,Y,
626,TC_083,,8mm Cassette,1978-07-04,3,TC_083_01,780704 / 780709,33:05-40:17,07:12:00,"GMG Silence 28:18 - 28:48 , Brief silence 32:44 - 33:03, Silence/Talking  40:15 - 41:27",33:05-40:17,Y,
627,TC_083,,8mm Cassette,1978-07-04,4,TC_083_01,780704 / 780709,41:01-46:33,04:11:00,"GMG Silence 28:18 - 28:48 , Brief silence 32:44 - 33:03, Silence/Talking  40:15 - 41:27",41:01-46:33,Y,
628,TC_095,,8mm Cassette,1978-08-08,2,TC_095_01,780808 (Anne's tape recorder) / 780810,29:08-30:55,01:46:00,GMG,29:08-30:55,Y,
629,TC_096,,8mm Cassette,1978-10-Unknown,,TC_096_01,7809## / 78100#,27:43-30:36,02:50:00,GMG,27:43-30:36,Y,
630,TC_110,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1978-11-24,3,TC_110_01,781124 1/2 Events in Baldwin at the Steinway,13:24-30:36,17:08:00,"GMG 12:20-13:23 Kid hurts themselves, crying",13:24-30:36,Y,
