MATMOTW,OUI,NOTES,ORIGINAL_FORMAT,DATE,MATMOTW_PART,GB_FILE_NAME,TC_LABEL,START_TIME,TIMECODE_ELAPSED,CONVO_SILENCE,CORRECTED _START_TIME,REXPORTED,MASTERING_NOTES
82,TC_022,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,5,TC_022_02,770918 A/B Baldwin Sunday (s 1-Slow Nice s 2-good santur style),19:13-28:16,09:03:00,ANS,,N,
83,TC_022,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,6,TC_022_02,770918 A/B Baldwin Sunday (s 1-Slow Nice s 2-good santur style),28:19-31:20,03:01:00,ANS,,N,
84,TC_023,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,7,TC_023_01,770918 1/2 Great Baldwin Steinway,00:00-19:11,18:58:00,ANS,,N,
85,TC_023,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,8,TC_023_01,770918 1/2 Great Baldwin Steinway,19:11-27:14,08:00:00,ANS,,N,
86,TC_023,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,9,TC_023_01,770918 1/2 Great Baldwin Steinway,27:14-31:25,04:09:00,ANS,,N,
87,TC_023,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,10,TC_023_02,770918 1/2 Great Baldwin Steinway,00:00-17:10,17:08:00,ANS,,N,
88,TC_023,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,11,TC_023_02,770918 1/2 Great Baldwin Steinway,17:10-22:06,04:56:00,ANS,,N,
89,TC_023,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,12,TC_023_02,770918 1/2 Great Baldwin Steinway,22:09-27:09,04:58:00,ANS,,N,
90,TC_023,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,13,TC_023_02,770918 1/2 Great Baldwin Steinway,28:51-31:16,02:17:00,ANS,,N,
91,TC_024,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,14,TC_024_01,770918 3/4 Baldwin (s 1-Very nice pt of s 2-Spanish) / 771004 1,00:00-12:45,12:44:00,ANS silence around 04:00,,N,
92,TC_024,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,15,TC_024_01,770918 3/4 Baldwin (s 1-Very nice pt of s 2-Spanish) / 771004 1,12:45-45:26,32:36:00,ANS talking 23:38. no fade out.,,N,
93,TC_024,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,16,TC_024_02,770918 3/4 Baldwin (s 1-Very nice pt of s 2-Spanish) / 771004 1,00:00-10:26,10:19:00,CMA,00:00-10:26,Y,
94,TC_024,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-10-04,4,TC_024_02,770918 3/4 Baldwin (s 1-Very nice pt of s 2-Spanish) / 771004 1,10:39-45:04,34:25:00,CMA,,N,
95,TC_025,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-19,1,TC_025_01,770919 Baldwin-short (pt of s 1) / 771011,00:00-04:20,04:15:00,CMA,00:00-04:20,Y(Incorrect timecode: needs re-exporting),Low levels
96,TC_025,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-19,2,TC_025_01,770919 Baldwin-short (pt of s 1) / 771011,4:27-06:35,02:07:00,CMA,4:27-06:35,Y,Low levels- Left side cuts out
97,TC_025,,8mm Cassette,1977-10-11,1,TC_025_01,770919 Baldwin-short (pt of s 1) / 771011,06:39-08:55,02:14:00,Session break 23:30? CMA,06:39-08:55,Y,Low levels- Left side cuts out
98,TC_026,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-09-20,1,TC_026_01,770920 1/2 Weber (s 2-Good Piece in D with C),00:00-11:35,11:34:00,CMA,00:00-11:35,Y,
99,TC_026,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-09-20,2,TC_026_02,770920 1/2 Weber (s 2-Good Piece in D with C),00:02-31:22,31:13:00,CMA,,N,
100,TC_027,,8mm Cassette,1977-09-29,1,TC_027_01,770929 1/2,00:05-30:40,30:32:00,EK,,N,Low levels
101,TC_027,,8mm Cassette,1977-09-29,2,TC_027_02,770929 1/2,00:02-19:34,19:28:00,EK,,N,Low levels
102,TC_027,,8mm Cassette,1977-09-29,3,TC_027_02,770929 1/2,19:35-30:39,11:03:00,EK,,N,Low levels
103,TC_028,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-09-30,1,TC_028_01,770930 1 Weber (pt of s 1) / 771004 1/2,00:00-21:46,21:44:00,EK,,N,"Audio only on one channel, need to fix or make mono."
104,TC_028,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-10-04,1,TC_028_01,770930 1 Weber (pt of s 1) / 771004 1/2,21:47-31:18,09:28:00,EK,,N,"Audio only on one channel, need to fix or make mono."
105,TC_028,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-10-04,2,TC_028_02,770930 1 Weber (pt of s 1) / 771004 1/2,00:00-29:03,29:03:00,EK,,N,
106,TC_028,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-10-04,3,TC_028_02,770930 1 Weber (pt of s 1) / 771004 1/2,29:07-31:17,02:09:00,EK,,N,
107,TC_029,,8mm Cassette,1977-10-07,,TC_029_02,770930 2/3 Weber (s 1 fragment on s 2) / 771007,01:33-13:25,11:40:00,EK,,N,Mono
108,TC_029,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-09-30,2,TC_029_01,770930 2/3 Weber (s 1 fragment on s 2) / 771007,00:05-20:39,20:23:00,EK,,N,Mono
109,TC_029,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-09-30,3,TC_029_01,770930 2/3 Weber (s 1 fragment on s 2) / 771007,20:42-44:48,24:06:00,EK,20:42-44:48,Y,Mono
110,TC_029,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-09-30,4,TC_029_02,770930 2/3 Weber (s 1 fragment on s 2) / 771007,00:00-01:28,01:28:00,EK,,N,Mono
111,TC_030,,8mm Cassette,1977-10-Unknown,1,TC_030_01,77100# / 771026 1/2,00:00-19:19,19:05:00,EK,,N,
112,TC_030,,8mm Cassette,1977-10-Unknown,2,TC_030_01,77100# / 771026 1/2,19:22-30:01,10:39:00,EK,,N,
113,TC_030,,8mm Cassette,1977-10-26,,TC_030_02,77100# / 771026 1/2,00:04-30:04,30:00:00,EK,00:04-30:04,Y,
114,TC_031,"Whiteman Street. Yellow Springs, Ohio.",8mm Cassette,1977-10-09,1,TC_031_01,771009 Whiteman St. / 771014 2 / SLL Outtakes,02:20-04:34,02:14:00,EK,,N,
115,TC_031,"Whiteman Street. Yellow Springs, Ohio.",8mm Cassette,1977-10-09,2,TC_031_01,771009 Whiteman St. / 771014 2 / SLL Outtakes,04:35-15:55,11:16:00,EK,,N,
116,TC_031,"Whiteman Street. Yellow Springs, Ohio.",8mm Cassette,1977-10-09,3,TC_031_01,771009 Whiteman St. / 771014 2 / SLL Outtakes,15:56-18:19,02:17:00,EK,,N,
117,TC_031,"Whiteman Street. Yellow Springs, Ohio.",8mm Cassette,1977-10-09,4,TC_031_01,771009 Whiteman St. / 771014 2 / SLL Outtakes,18:20-45:29,27:08:00,EK,,N,
